Sm_g00000001	25.95	More Alt
Sm_g00000002	12.58	More Ref
Sm_g00000005	15.61	More Ref
Sm_g00000008	11.12	More Ref
Sm_g00000020	24.75	More Alt
Sm_g00000025	32.96	More Ref
Sm_g00000026	36.11	More Ref
Sm_g00000028	No variants
Sm_g00000031	46.1	More Ref
Sm_g00000033	36.68	More Alt
Sm_g00000037	47.98	More Ref
Sm_g00000050	73.2	More Alt
Sm_g00000051	12.89	More Alt
Sm_g00000054	12.74	More Ref
Sm_g00000055	61.23	More Ref
Sm_g00000056	18.15	More Ref
Sm_g00000057	15.04	More Ref
Sm_g00000058	21.96	More Ref
Sm_g00000059	31.06	More Alt
Sm_g00000060	12.86	More Ref
Sm_g00000061	17.17	More Ref
Sm_g00000064	27.54	More Ref
Sm_g00000065	23.05	More Ref
Sm_g00000066	5.71	More Ref
Sm_g00000068	13.03	More Ref
Sm_g00000069	23.14	More Alt
Sm_g00000071	37.78	More Ref
Sm_g00000073	48.21	More Ref
Sm_g00000075	11.57	More Alt
Sm_g00000076	46.14	More Ref
Sm_g00000077	15.44	More Alt
Sm_g00000078	17.12	More Alt
Sm_g00000079	43.83	More Alt
Sm_g00000080	4.0	More Ref
Sm_g00000081	10.42	More Ref
Sm_g00000082	No variants
Sm_g00000083	56.59	More Ref
Sm_g00000085	34.1	More Ref
Sm_g00000086	36.39	More Alt
Sm_g00000087	70.76	More Alt
Sm_g00000088	44.74	More Ref
Sm_g00000091	23.8	More Ref
Sm_g00000092	18.58	More Ref
Sm_g00000094	42.75	More Ref
Sm_g00000095	46.85	More Alt
Sm_g00000096	7.65	More Alt
Sm_g00000097	27.28	More Ref
Sm_g00000098	26.52	More Ref
Sm_g00000099	29.59	More Ref
Sm_g00000100	42.0	More Alt
Sm_g00000103	15.98	More Ref
Sm_g00000104	37.24	More Ref
Sm_g00000105	50.48	More Ref
Sm_g00000106	34.64	More Ref
Sm_g00000107	12.53	More Alt
Sm_g00000108	65.2	More Alt
Sm_g00000110	56.31	More Ref
Sm_g00000111	40.15	More Ref
Sm_g00000117	32.79	More Ref
Sm_g00000118	15.21	More Ref
Sm_g00000119	7.97	More Ref
Sm_g00000121	64.0	More Alt
Sm_g00000127	32.5	More Alt
Sm_g00000129	23.71	More Ref
Sm_g00000130	32.35	More Ref
Sm_g00000131	35.59	More Alt
Sm_g00000133	57.28	More Alt
Sm_g00000134	23.44	Equal
Sm_g00000135	12.21	More Alt
Sm_g00000137	27.04	More Ref
Sm_g00000139	16.95	More Ref
Sm_g00000140	31.14	More Ref
Sm_g00000143	35.26	More Alt
Sm_g00000144	21.2	More Ref
Sm_g00000145	42.33	More Ref
Sm_g00000147	10.77	More Ref
Sm_g00000148	24.71	More Ref
Sm_g00000149	27.41	More Alt
Sm_g00000150	38.71	More Ref
Sm_g00000151	19.23	More Ref
Sm_g00000152	44.59	More Ref
Sm_g00000155	16.32	More Alt
Sm_g00000156	49.11	More Ref
Sm_g00000157	17.9	More Alt
Sm_g00000159	14.61	More Ref
Sm_g00000163	No variants
Sm_g00000164	28.06	More Alt
Sm_g00000165	55.84	More Alt
Sm_g00000166	31.23	More Ref
Sm_g00000169	35.71	More Ref
Sm_g00000170	14.01	More Ref
Sm_g00000175	11.73	Equal
Sm_g00000177	48.0	More Ref
Sm_g00000178	14.85	More Ref
Sm_g00000182	29.39	More Alt
Sm_g00000183	18.46	More Alt
Sm_g00000184	31.46	More Ref
Sm_g00000185	13.46	More Ref
Sm_g00000186	14.97	More Ref
Sm_g00000187	14.03	More Alt
Sm_g00000188	27.91	More Ref
Sm_g00000190	19.57	More Alt
Sm_g00000194	16.39	More Alt
Sm_g00000195	26.45	More Ref
Sm_g00000197	42.86	More Ref
Sm_g00000198	24.05	More Alt
Sm_g00000200	16.64	More Ref
Sm_g00000201	31.72	More Ref
Sm_g00000204	54.54	More Ref
Sm_g00000205	27.8	More Ref
Sm_g00000208	26.22	More Ref
Sm_g00000209	28.99	More Ref
Sm_g00000210	44.11	More Ref
Sm_g00000211	11.39	More Ref
Sm_g00000212	28.89	More Alt
Sm_g00000214	39.26	More Ref
Sm_g00000215	23.71	More Ref
Sm_g00000217	46.6	More Ref
Sm_g00000218	No variants
Sm_g00000219	No variants
Sm_g00000220	No variants
Sm_g00000221	14.27	More Ref
Sm_g00000222	32.2	More Ref
Sm_g00000224	44.11	More Ref
Sm_g00000225	10.92	More Ref
Sm_g00000226	18.45	More Alt
Sm_g00000228	22.61	More Ref
Sm_g00000229	28.94	More Ref
Sm_g00000230	19.45	More Ref
Sm_g00000231	30.73	More Ref
Sm_g00000233	10.35	More Alt
Sm_g00000234	64.08	More Ref
Sm_g00000235	46.74	More Ref
Sm_g00000236	26.38	More Ref
Sm_g00000237	22.9	More Ref
Sm_g00000238	19.51	More Ref
Sm_g00000239	20.04	More Ref
Sm_g00000240	20.65	More Ref
Sm_g00000241	13.38	More Alt
Sm_g00000242	14.41	More Ref
Sm_g00000243	29.54	More Ref
Sm_g00000244	18.39	More Ref
Sm_g00000245	31.48	More Ref
Sm_g00000249	25.38	More Ref
Sm_g00000251	42.62	More Alt
Sm_g00000252	14.35	More Alt
Sm_g00000253	23.51	More Alt
Sm_g00000255	21.01	More Alt
Sm_g00000256	15.4	More Alt
Sm_g00000258	14.65	More Ref
Sm_g00000259	54.16	More Ref
Sm_g00000260	No variants
Sm_g00000261	28.22	More Ref
Sm_g00000262	21.08	More Ref
Sm_g00000263	6.88	More Alt
Sm_g00000264	18.21	More Alt
Sm_g00000265	17.36	More Alt
Sm_g00000266	63.73	More Ref
Sm_g00000267	38.73	Equal
Sm_g00000269	29.28	More Alt
Sm_g00000271	32.28	More Ref
Sm_g00000272	31.35	More Ref
Sm_g00000275	34.42	More Ref
Sm_g00000279	26.94	More Alt
Sm_g00000280	27.04	More Ref
Sm_g00000281	22.34	More Alt
Sm_g00000282	28.87	More Ref
Sm_g00000283	47.59	More Ref
Sm_g00000284	No variants
