gene	bias1	bias2	bias3	mean	SD
Sm_t00007990-RA	19.15	16.08	14.67	16.6333333333333	2.29068403175412
Sm_t00007991-RA	11.24	9.36	26.71	15.77	9.5208350474105
Sm_t00007992-RA	36.61	49.19	46.5	44.1	6.62450752886582
Sm_t00007993-RA	34.85	38.14	42.44	38.4766666666667	3.80618356537534
Sm_t00007994-RA	17.64	24.99	25.75	22.7933333333333	4.47906612290256
Sm_t00007995-RA	31.33	37	33.52	33.95	2.85935307368642
Sm_t00007996-RA	35.09	30.43	31.69	32.4033333333333	2.41050478807517
Sm_t00007997-RA	71.4	70.94	62.14	68.16	5.21854385820413
Sm_t00008001-RA	22.03	17.27	23.25	20.85	3.15981012087752
Sm_t00008005-RA	2.81	4.31	16.81	7.97666666666667	7.68656837173347
Sm_t00008007-RA	6.73	13.56	11.67	10.6533333333333	3.52667454315441
Sm_t00008008-RA	9.41	8.36	15.68	11.15	3.95806771038597
Sm_t00008009-RA	17.56	18.71	29.53	21.9333333333333	6.6039861699835
Sm_t00008010-RA	69.16	76.33	81.77	75.7533333333333	6.32474768930219
Sm_t00008011-RA	100	55.41	100	85.1366666666667	25.7440485031654
Sm_t00008012-RA	100	100	100	100	0
Sm_t00008014-RA	100	37.93	40.43	59.4533333333333	35.1366850077427
Sm_t00008015-RA	11.13	8.76	14.86	11.5833333333333	3.07516395226878
Sm_t00008017-RA	51.81	33.99	34.88	40.2266666666667	10.0413262736221
Sm_t00008018-RA	13.49	15.26	14.97	14.5733333333333	0.949333099250907
Sm_t00008019-RA	9.71	9.95	9.98	9.88	0.147986485869487
Sm_t00008020-RA	15.99	16.13	19.24	17.12	1.83730781307869
Sm_t00008021-RA	15.22	17.68	14.31	15.7366666666667	1.7433970670313
Sm_t00008023-RA	20.68	17.15	25.85	21.2266666666667	4.37568661278814
Sm_t00008024-RA	46.79	38.1	39.61	41.5	4.64307010500595
Sm_t00008025-RA	20.01	23	17.57	20.1933333333333	2.71963845636388
Sm_t00008027-RA	13.27	13.86	14.13	13.7533333333333	0.439810565281615
Sm_t00008028-RA	25.63	21.62	23.82	23.69	2.00815836028935
Sm_t00008030-RA	13.52	3.12	21.41	12.6833333333333	9.17365975678918
Sm_t00008031-RA	20.79	24.2	23	22.6633333333333	1.72974950016855
Sm_t00008032-RA	20.84	27.72	24.02	24.1933333333333	3.4432736361395
Sm_t00008033-RA	47.2	40.84	43.94	43.9933333333333	3.18033541208051
Sm_t00008036-RA	20.45	34.16	16.72	23.7766666666667	9.18359588251428
Sm_t00008039-RA	37.24	19.68	45.84	34.2533333333333	13.333286666585
Sm_t00008040-RA	14.04	13.54	19.88	15.82	3.52493971579657
Sm_t00008042-RA	7.67	15.2	12.03	11.6333333333333	3.78063927574866
Sm_t00008044-RA	9.26	6.92	11.65	9.27666666666667	2.36504404469205
Sm_t00008045-RA	83.71	58.74	100	80.8166666666667	20.7816128665061
Sm_t00008047-RA	9.45	10.69	11.9	10.68	1.22503061186241
Sm_t00008048-RA	19.77	13.65	32.36	21.9266666666667	9.53962438114485
Sm_t00008051-RA	34.72	28.21	27.53	30.1533333333333	3.96943740766035
Sm_t00008055-RA	51.95	61.46	54.03	55.8133333333333	4.99952331061005
Sm_t00008056-RA	16.8	17.92	30.12	21.6133333333333	7.38824291244768
Sm_t00008057-RA	23.99	23.13	29.22	25.4466666666667	3.29597228952753
Sm_t00008059-RA	30.71	50	NA	40.355	13.6400898090885
Sm_t00008062-RA	15.25	11.04	18.95	15.08	3.9577392536649
Sm_t00008063-RA	34.31	40.51	41.62	38.8133333333333	3.93929350687827
Sm_t00008064-RA	31.85	36.82	45.47	38.0466666666667	6.89236050517769
Sm_t00008065-RA	6.71	4.65	5.44	5.6	1.03927859595009
Sm_t00008070-RA	22.05	18.39	33.23	24.5566666666667	7.73103701539019
Sm_t00008072-RA	18.74	15.85	15.78	16.79	1.68911219283978
Sm_t00008073-RA	18.67	17.85	7.86	14.7933333333333	6.01842448929397
Sm_t00008074-RA	19.29	18.45	17.78	18.5066666666667	0.756593241665118
Sm_t00008076-RA	2.89	8.58	14.14	8.53666666666667	5.62512518379221
Sm_t00008078-RA	8.59	8.71	18.39	11.8966666666667	5.62371170432245
Sm_t00008081-RA	18.52	26.43	9.44	18.13	8.5017115923795
Sm_t00008083-RA	24.33	6.95	17.47	16.25	8.75399337445488
Sm_t00008084-RA	18.28	16.2	12.08	15.52	3.1554397474837
Sm_t00008085-RA	38.82	33.94	45.41	39.39	5.75620534727523
Sm_t00008086-RA	19.33	13.63	26.08	19.68	6.23237514917066
Sm_t00008088-RA	10.86	17.91	16.12	14.9633333333333	3.66456454893802
Sm_t00008089-RA	31.93	18.55	29.41	26.63	7.11002109701511
Sm_t00008090-RA	21.87	23.56	NA	22.715	1.19501046020526
Sm_t00008091-RA	7.69	8.33	14.92	10.3133333333333	4.00230350340068
Sm_t00008092-RA	11.57	6.47	19.31	12.45	6.46507540559273
Sm_t00008093-RA	23.39	20.88	25.12	23.13	2.13192401365527
Sm_t00008095-RA	35.24	71.43	3.7	36.79	33.8915933529246
Sm_t00008099-RA	21.76	23.64	18.9	21.4333333333333	2.38682494819652
Sm_t00008101-RA	40.35	6.93	NA	23.64	23.6315086272544
Sm_t00008103-RA	35.83	36.85	35.47	36.05	0.715821206726933
Sm_t00008104-RA	NA	100	100	100	0
Sm_t00008105-RA	21.65	16.46	24.72	20.9433333333333	4.17509680526492
Sm_t00008106-RA	25.03	19.52	8.41	17.6533333333333	8.46578013731359
Sm_t00008107-RA	27.73	25.55	12.75	22.01	8.09313289153218
Sm_t00008108-RA	100	100	NA	100	0
Sm_t00008109-RA	5.39	8.7	10.88	8.32333333333333	2.76431426095756
Sm_t00008110-RA	15.67	12.56	17.34	15.19	2.42588128316288
Sm_t00008111-RA	36.77	36.95	51.44	41.72	8.41824803626027
Sm_t00008112-RA	54.9	38.36	65.14	52.8	13.5129419446692
Sm_t00008113-RA	19.8	18.04	13.71	17.1833333333333	3.13407615308456
Sm_t00008114-RA	7.78	1.93	2.64	4.11666666666667	3.19233978976758
Sm_t00008120-RA	60.52	62.06	60.66	61.08	0.851586754241752
Sm_t00008121-RA	21.22	45.15	NA	33.185	16.9210652737941
Sm_t00008122-RA	58.11	47.5	43.37	49.66	7.60368989372923
Sm_t00008123-RA	65.58	53.81	69.24	62.8766666666667	8.06239625256246
Sm_t00008124-RA	8.4	7.7	10.95	9.01666666666667	1.7105067475264
Sm_t00008125-RA	48.67	50.3	49.07	49.3466666666667	0.849490043104291
Sm_t00008126-RA	25.51	29.46	29.19	28.0533333333333	2.2067245712443
Sm_t00008127-RA	2.14	15.61	5.13	7.62666666666667	7.07355874601557
Sm_t00008128-RA	13.04	26.81	31.41	23.7533333333333	9.55885104671756
Sm_t00008129-RA	24.13	20.66	22.85	22.5466666666667	1.75477443944609
Sm_t00008130-RA	73.64	69.86	100	81.1666666666667	16.41928540873
Sm_t00008131-RA	NA	35.24	32.14	33.69	2.1920310216783
Sm_t00008132-RA	24.71	29.88	27.01	27.2	2.59023164987226
Sm_t00008134-RA	18.23	18.48	18.34	18.35	0.125299640861417
Sm_t00008135-RA	9.75	10.06	13.28	11.03	1.95471225503909
Sm_t00008136-RA	17.15	11.96	15.35	14.82	2.63527987128502
Sm_t00008137-RA	38.88	41.49	NA	40.185	1.84554869889689
Sm_t00008138-RA	34.87	33.04	18.92	28.9433333333333	8.72855276282004
Sm_t00008139-RA	13.59	6.66	7.97	9.40666666666667	3.68160743878721
Sm_t00008140-RA	21.49	22.44	42.7	28.8766666666667	11.9807776597904
Sm_t00008141-RA	17.57	13.6	32.94	21.37	10.2146414523467
Sm_t00008142-RA	33.76	49.86	36.93	40.1833333333333	8.52881195321677
Sm_t00008143-RA	23.15	21.84	27.53	24.1733333333333	2.9798378031922
Sm_t00008145-RA	13.82	15.96	18.34	16.04	2.26106169752176
