gene	bias1	bias2	bias3	mean	SD
Sm_t00000001-RA	19.65	18.93	25.95	21.51	3.86196841002098
Sm_t00000002-RA	15.31	23.15	12.58	17.0133333333333	5.48700586233816
Sm_t00000005-RA	13.53	18.28	15.61	15.8066666666667	2.38109918595033
Sm_t00000008-RA	7.8	5.63	11.12	8.18333333333333	2.76500150693148
Sm_t00000018-RA	NA	35.29	13.33	24.31	15.5280649148566
Sm_t00000020-RA	13.5	21.74	24.75	19.9966666666667	5.82409077310213
Sm_t00000025-RA	39.93	39.42	32.96	37.4366666666667	3.88528420238897
Sm_t00000033-RA	39.37	38.23	36.68	38.0933333333333	1.35019751641504
Sm_t00000037-RA	44.14	45.4	47.98	45.84	1.95744731729873
Sm_t00000050-RA	75.82	68.62	73.2	72.5466666666667	3.64419172565513
Sm_t00000051-RA	9.65	10.76	12.89	11.1	1.64654183062563
Sm_t00000054-RA	11.1	18	12.74	13.9466666666667	3.60479310548238
Sm_t00000055-RA	65.82	63.97	61.23	63.6733333333333	2.30933612393981
Sm_t00000056-RA	19.47	24.56	18.15	20.7266666666667	3.38473534169709
Sm_t00000057-RA	9.99	8.41	15.04	11.1466666666667	3.46303816515691
Sm_t00000058-RA	36.78	28.96	23.69	29.81	6.58626601345558
Sm_t00000059-RA	43.55	37.41	31.06	37.34	6.24529422845713
Sm_t00000060-RA	25.86	22.17	12.86	20.2966666666667	6.69940544625666
Sm_t00000061-RA	12.98	10.21	17.17	13.4533333333333	3.50405955048332
Sm_t00000064-RA	19.2	16.23	27.54	20.99	5.86362515855166
Sm_t00000066-RA	37.5	45	5.71	29.4033333333333	20.8588837988358
Sm_t00000068-RA	11.16	13.61	13.03	12.6	1.28035151423349
Sm_t00000069-RA	11.07	18.42	23.14	17.5433333333333	6.08256798838561
Sm_t00000070-RA	24.85	41.13	NA	32.99	11.511698397717
Sm_t00000071-RA	44.72	38.44	37.78	40.3133333333333	3.83052650863211
Sm_t00000073-RA	60.57	57.03	48.21	55.27	6.36518656442998
Sm_t00000074-RA	27.08	30.63	NA	28.855	2.51022907321224
Sm_t00000075-RA	30.46	23.57	11.57	21.8666666666667	9.55949963823072
Sm_t00000076-RA	55.63	63.1	46.14	54.9566666666667	8.50002549015786
Sm_t00000077-RA	5.37	2.79	15.9	8.02	6.945134987889
Sm_t00000078-RA	17.8	18.06	17.12	17.66	0.485386443980463
Sm_t00000079-RA	42.73	55.06	51.94	49.91	6.41076438500122
Sm_t00000081-RA	13.53	16.11	10.42	13.3533333333333	2.84911097244971
Sm_t00000086-RA	36.08	27.1	36.39	33.19	5.2763718595262
Sm_t00000087-RA	75.11	77.14	70.76	74.3366666666667	3.25954495801689
Sm_t00000088-RA	42.67	31.44	44.74	39.6166666666667	7.15643999019997
Sm_t00000091-RA	13.55	14.41	23.8	17.2533333333333	5.68586258480922
Sm_t00000092-RA	22.41	19.26	18.58	20.0833333333333	2.04343664774158
Sm_t00000096-RA	4.02	3.43	7.65	5.03333333333333	2.28522063121558
Sm_t00000097-RA	25.38	27.48	27.28	26.7133333333333	1.15902257671425
Sm_t00000098-RA	22.89	20.8	26.52	23.4033333333333	2.894345061207
Sm_t00000099-RA	29.84	25.25	29.59	28.2266666666667	2.58089777661443
Sm_t00000100-RA	41.75	41.23	42	41.66	0.392810386828049
Sm_t00000103-RA	11.13	11.9	15.98	13.0033333333333	2.60645992360008
Sm_t00000104-RA	35.49	27.21	37.24	33.3133333333333	5.35757718874244
Sm_t00000105-RA	46.03	48.61	50.48	48.3733333333333	2.23442013357679
Sm_t00000106-RA	15.58	20.73	34.64	23.65	9.85980222925389
Sm_t00000107-RA	8.49	14.71	12.53	11.91	3.1560101394007
Sm_t00000108-RA	78.12	64.97	65.2	69.43	7.52663935631302
Sm_t00000111-RA	48.26	28.97	40.15	39.1266666666667	9.68563024967056
Sm_t00000117-RA	21.41	26.32	32.79	26.84	5.70779291845806
Sm_t00000118-RA	6.87	13.08	15.21	11.72	4.33313973926528
Sm_t00000119-RA	13.6	12.42	7.97	11.33	2.9690570893804
Sm_t00000121-RA	50.28	44.37	64	52.8833333333333	10.0706123613876
Sm_t00000127-RA	12.24	14.81	32.5	19.85	11.0303263777642
Sm_t00000129-RA	11.24	29.54	23.71	21.4966666666667	9.34861665345913
Sm_t00000131-RA	3.23	16.42	35.59	18.4133333333333	16.2718294402729
Sm_t00000133-RA	21.21	31.11	57.28	36.5333333333333	18.6365402726293
Sm_t00000134-RA	12.34	16.66	23.44	17.48	5.59524798378052
Sm_t00000135-RA	10.91	12.8	12.21	11.9733333333333	0.966971216393401
Sm_t00000137-RA	25.66	20.96	27.04	24.5533333333333	3.18749640522673
Sm_t00000138-RA	21.12	25.21	NA	23.165	2.89206673505298
Sm_t00000139-RA	12.32	14.78	16.95	14.6833333333333	2.31651318436424
Sm_t00000140-RA	20.4	30.55	31.14	27.3633333333333	6.03763474659848
Sm_t00000143-RA	41.46	41.89	33.88	39.0766666666667	4.50557802433088
Sm_t00000144-RA	25.32	30.13	21.2	25.55	4.46944068089062
Sm_t00000145-RA	43.94	40.54	42.33	42.27	1.70079393225634
Sm_t00000147-RA	21.9	17.44	10.77	16.7033333333333	5.60144921724131
Sm_t00000148-RA	17.43	21.48	24.71	21.2066666666667	3.64768876596309
Sm_t00000149-RA	59.74	47.97	27.41	45.04	16.362942889346
Sm_t00000150-RA	40.81	30.87	38.71	36.7966666666667	5.23894391393278
Sm_t00000151-RA	25.42	25.98	19.23	23.5433333333333	3.74593557517122
Sm_t00000155-RA	15.41	23.37	12.25	17.01	5.73006108169887
Sm_t00000156-RA	38.04	47.94	49.11	45.03	6.08171850713267
Sm_t00000157-RA	13	12.69	17.9	14.53	2.92261868877895
Sm_t00000159-RA	11.27	12.33	14.43	12.6766666666667	1.60827029237418
Sm_t00000164-RA	24.18	23.05	28.06	25.0966666666667	2.62778106647668
Sm_t00000165-RA	44.81	53.13	55.84	51.26	5.7478604715146
Sm_t00000166-RA	31.53	32.12	31.23	31.6266666666667	0.45280606591932
Sm_t00000170-RA	18.84	14.73	14.01	15.86	2.60574365584952
Sm_t00000175-RA	4.08	15.5	11.73	10.4366666666667	5.81881717648298
Sm_t00000177-RA	59.99	59.5	48	55.83	6.7854034515274
Sm_t00000178-RA	9.47	14.1	14.85	12.8066666666667	2.91386913455861
Sm_t00000179-RA	26.57	33.39	NA	29.98	4.82246824769225
Sm_t00000182-RA	18.34	31.21	29.39	26.3133333333333	6.96481394822097
Sm_t00000183-RA	15.8	13.84	18.46	16.0333333333333	2.3188215397769
Sm_t00000184-RA	23.26	20.74	25.36	23.12	2.31317962986016
Sm_t00000185-RA	10.55	10.13	13.46	11.38	1.8135324645564
Sm_t00000186-RA	10.3	11.62	14.97	12.2966666666667	2.40741216523746
Sm_t00000188-RA	26.57	20.4	27.91	24.96	4.00550870676872
Sm_t00000190-RA	20.53	18.89	19.57	19.6633333333333	0.82397410962562
Sm_t00000194-RA	17.68	17.48	16.39	17.1833333333333	0.694286204193438
Sm_t00000195-RA	2.5	9.73	27.25	13.16	12.7265195556366
Sm_t00000197-RA	37.27	43.46	42.86	41.1966666666667	3.41380042377016
Sm_t00000198-RA	23.3	40.09	24.05	29.1466666666667	9.4846208850609
Sm_t00000200-RA	29.21	25.79	16.64	23.88	6.4990230034983
Sm_t00000201-RA	29.55	34.96	31.72	32.0766666666667	2.72257843474405
Sm_t00000204-RA	57	56.76	53.14	55.6333333333333	2.162621865545
Sm_t00000205-RA	29.63	23.51	27.8	26.98	3.14132137801913
Sm_t00000206-RA	26.46	15.1	NA	20.78	8.03273303427918
Sm_t00000207-RA	47.87	47.48	NA	47.675	0.275771644662754
Sm_t00000208-RA	11.34	17.54	26.22	18.3666666666667	7.47436507894372
Sm_t00000209-RA	17.03	22.2	28.99	22.74	5.99825808047636
Sm_t00000210-RA	48.83	46.65	44.11	46.53	2.36228702743761
Sm_t00000211-RA	12.18	13.31	11.39	12.2933333333333	0.965004317779632
Sm_t00000212-RA	36.72	44.9	28.89	36.8366666666667	8.00563759692714
Sm_t00000214-RA	29.28	35.67	39.26	34.7366666666667	5.05504038889239
Sm_t00000215-RA	10.96	17.43	23.71	17.3666666666667	6.3752359433462
Sm_t00000216-RA	37.66	34.48	NA	36.07	2.24859956417322
Sm_t00000217-RA	52.57	47.13	46.6	48.7666666666667	3.30442632439177
Sm_t00000218-RA	100	100	100	100	0
Sm_t00000220-RA	100	100	100	100	0
Sm_t00000221-RA	10.56	9.02	14.27	11.2833333333333	2.69870956817019
Sm_t00000222-RA	47.33	48.74	32.2	42.7566666666667	9.16948380953548
Sm_t00000224-RA	49.78	48.39	44.11	47.4266666666667	2.95520444865213
Sm_t00000225-RA	35.94	32.83	10.92	26.5633333333333	13.6364743732877
Sm_t00000226-RA	24.83	28.83	18.45	24.0366666666667	5.23527777040849
Sm_t00000228-RA	22.33	19.29	22.61	21.41	1.84130388583742
Sm_t00000229-RA	29.72	31.58	28.68	29.9933333333333	1.46919479080663
Sm_t00000230-RA	20.13	14.06	17.13	17.1066666666667	3.03506726998486
Sm_t00000231-RA	27.83	43.36	30.73	33.9733333333333	8.25739870257779
Sm_t00000233-RA	21.51	13.71	10.35	15.19	5.72531221856066
Sm_t00000234-RA	49.27	69.5	64.08	60.95	10.4719100454502
Sm_t00000235-RA	47.45	38.74	46.74	44.31	4.83680679787812
Sm_t00000236-RA	32.18	14.61	26.38	24.39	8.95244659297111
Sm_t00000237-RA	33.63	25.8	22.9	27.4433333333333	5.5505525250495
Sm_t00000238-RA	16.16	22.35	20.71	19.74	3.20697676948244
Sm_t00000239-RA	16.73	21.28	20.04	19.35	2.35216921160022
Sm_t00000240-RA	12.41	24.97	20.65	19.3433333333333	6.38113887431807
Sm_t00000241-RA	12.94	41.65	13.38	22.6566666666667	16.4501803434897
Sm_t00000242-RA	10.7	8.06	14.55	11.1033333333333	3.26374529234947
Sm_t00000243-RA	24.55	26.08	24.35	24.9933333333333	0.946379064293653
Sm_t00000245-RA	33.89	33.58	38.07	35.18	2.50760842238177
Sm_t00000249-RA	21.56	22.5	25.38	23.1466666666667	1.99041034295276
Sm_t00000251-RA	32.68	35.77	42.62	37.0233333333333	5.0871439269332
Sm_t00000252-RA	4.07	4.13	14.35	7.51666666666667	5.91791629996009
Sm_t00000253-RA	15.1	16.65	23.51	18.42	4.47567871947932
Sm_t00000255-RA	16.69	23.81	21.01	20.5033333333333	3.58693927092909
Sm_t00000256-RA	19.02	18.24	15.4	17.5533333333333	1.90518590518966
Sm_t00000257-RA	15.07	34.25	NA	24.66	13.562308063158
Sm_t00000258-RA	16.22	7.67	14.65	12.8466666666667	4.55133313803037
Sm_t00000260-RA	100	100	100	100	0
Sm_t00000261-RA	37.54	34.39	28.22	33.3833333333333	4.74084732229728
Sm_t00000262-RA	24.58	32.3	21.08	25.9866666666667	5.74074327359562
Sm_t00000263-RA	14.65	6.32	6.88	9.28333333333333	4.65609636211852
Sm_t00000264-RA	32.1	24.44	18.21	24.9166666666667	6.95725760147871
Sm_t00000265-RA	23.61	6.31	17.36	15.76	8.76027967590076
Sm_t00000266-RA	62.89	60.91	63.73	62.51	1.44789502381906
Sm_t00000267-RA	58.77	51.48	38.73	49.66	10.1432095512219
Sm_t00000269-RA	20.04	19.97	28.75	22.92	5.04904941548407
Sm_t00000271-RA	27.56	33.54	32.28	31.1266666666667	3.15241706208638
Sm_t00000272-RA	18.44	21.11	31.35	23.6333333333333	6.81486854849992
Sm_t00000275-RA	28.9	23.32	34.42	28.88	5.55002702696122
Sm_t00000278-RA	72.3	61.56	NA	66.93	7.59432682994352
Sm_t00000279-RA	19.61	23.96	26.45	23.34	3.46189254599273
Sm_t00000280-RA	26.62	30.21	27.04	27.9566666666667	1.96271071055653
Sm_t00000281-RA	15.72	16.24	22.34	18.1	3.68114112742231
Sm_t00000282-RA	24.82	27.6	29.39	27.27	2.30280264026251
Sm_t00000284-RA	100	100	100	100	0
Sm_t00000288-RA	28.6	21.23	19.59	23.14	4.79907282711984
Sm_t00000296-RA	7.34	11.8	16.85	11.9966666666667	4.75804932018714
Sm_t00000298-RA	16.86	15.99	12.57	15.14	2.2677962871475
Sm_t00000299-RA	23.03	34.24	43.19	33.4866666666667	10.1010907001835
Sm_t00000301-RA	12.4	8.04	8.26	9.56666666666667	2.45620303178164
Sm_t00000302-RA	9.16	16.81	16.97	14.3133333333333	4.46363454298549
Sm_t00000303-RA	41.5	42.81	38.14	40.8166666666667	2.40882405611812
Sm_t00000304-RA	39.85	33.78	38.3	37.31	3.1537755151564
Sm_t00000305-RA	6.72	9.09	4.89	6.9	2.10577776605225
Sm_t00000306-RA	64.9	62.04	66.92	64.62	2.4520195757783
Sm_t00000309-RA	13.65	12.55	18.53	14.91	3.18289176693145
Sm_t00000310-RA	27.72	30.29	34.59	30.8666666666667	3.47111413429944
Sm_t00000312-RA	49.91	51.52	54.53	51.9866666666667	2.34508706306042
Sm_t00000315-RA	16.18	24.87	29.7	23.5833333333333	6.85122130231781
Sm_t00000316-RA	29.41	62.96	33.33	41.9	18.3435083885281
Sm_t00000317-RA	43.13	23.6	35.49	34.0733333333333	9.84176982728886
Sm_t00000325-RA	38.06	31.15	40.91	36.7066666666667	5.01876810914126
Sm_t00000326-RA	14.57	22.88	40.78	26.0766666666667	13.394216413562
Sm_t00000328-RA	31.87	32.49	25.33	29.8966666666667	3.9669803797515
Sm_t00000330-RA	14.39	15.13	8.75	12.7566666666667	3.48954629333576
Sm_t00000331-RA	13.66	37.96	30.93	27.5166666666667	12.5044245502675
Sm_t00000334-RA	11.09	13.39	20.89	15.1233333333333	5.12477641788726
Sm_t00000336-RA	25.15	22.12	49.29	32.1866666666667	14.889198545702
Sm_t00000338-RA	18.42	5.17	3.51	9.03333333333333	8.17135443689315
Sm_t00000343-RA	37.55	19.23	40.74	32.5066666666667	11.6080331380184
Sm_t00000344-RA	13.89	15.96	8.44	12.7633333333333	3.88453772453471
Sm_t00000347-RA	37.18	27.48	38.81	34.49	6.12529999265342
Sm_t00000348-RA	17.08	13.41	20.54	17.01	3.56551539051509
Sm_t00000349-RA	9.19	21.37	NA	15.28	8.61256059485215
Sm_t00000350-RA	10.23	9.09	14.5	11.2733333333333	2.85191748361227
Sm_t00000351-RA	16.95	30.8	19.14	22.2966666666667	7.44506771851898
Sm_t00000355-RA	43.49	37.57	44.81	41.9566666666667	3.85586998397681
Sm_t00000357-RA	6.85	8.35	11.12	8.77333333333333	2.16624867762991
Sm_t00000358-RA	19.42	11.42	19.66	16.8333333333333	4.68961974293581
Sm_t00000359-RA	9.96	7.53	36.79	18.0933333333333	16.237309916773
Sm_t00000360-RA	36.23	21.98	36.93	31.7133333333333	8.43657711002118
Sm_t00000361-RA	30.55	23.29	30.08	27.9733333333333	4.06268794437049
Sm_t00000362-RA	28.42	43.65	27.08	33.05	9.20428704463306
Sm_t00000364-RA	19.01	11.25	32.72	20.9933333333333	10.8715423622103
Sm_t00000365-RA	23.68	24.28	26.32	24.76	1.3839075113605
Sm_t00000366-RA	15.31	16.73	19.44	17.16	2.09830884285417
Sm_t00000368-RA	45.17	35.32	40.35	40.28	4.92537308231569
Sm_t00000369-RA	20.78	23.74	29.05	24.5233333333333	4.19027843148082
Sm_t00000370-RA	17.87	6.7	42.47	22.3466666666667	18.3003724916553
Sm_t00000371-RA	44.66	34.29	68.42	49.1233333333333	17.4972921714571
Sm_t00000372-RA	14.06	15.26	10.94	13.42	2.22997757836262
Sm_t00000373-RA	68.89	100	67.94	78.9433333333333	18.2417935887164
Sm_t00000377-RA	100	100	100	100	0
Sm_t00000378-RA	18.8	13.73	20.01	17.5133333333333	3.3318513372198
Sm_t00000379-RA	25.61	15.37	11.34	17.44	7.35675879718779
Sm_t00000381-RA	60	59.75	54.81	58.1866666666667	2.92694949278824
Sm_t00000384-RA	32.42	31.9	39.81	34.71	4.42437566216975
Sm_t00000390-RA	10.26	16.6	19.76	15.54	4.83789210297212
Sm_t00000391-RA	58.88	56.51	58.13	57.84	1.21132159231147
Sm_t00000392-RA	100	100	100	100	0
Sm_t00000393-RA	23.15	18.4	26.3	22.6166666666667	3.97691253780283
Sm_t00000394-RA	12.26	20.79	34.2	22.4166666666667	11.0600828809432
Sm_t00000395-RA	10.91	18.76	35.43	21.7	12.521593349091
Sm_t00000396-RA	10.48	7.37	14.29	10.7133333333333	3.46589574761465
Sm_t00000397-RA	51.14	39.38	56.2	48.9066666666667	8.62953841948301
Sm_t00000398-RA	34.22	46.23	50.54	43.6633333333333	8.45733015397491
Sm_t00000403-RA	39.93	37.77	49.48	42.3933333333333	6.23153539132478
Sm_t00000404-RA	17.78	13.49	23.26	18.1766666666667	4.89706374609657
Sm_t00000405-RA	22.68	9.51	17.59	16.5933333333333	6.64132767850927
Sm_t00000406-RA	21.17	10.27	30.8	20.7466666666667	10.2715448367484
Sm_t00000407-RA	35.05	51.89	NA	43.47	11.9076781951815
Sm_t00000408-RA	16.69	7.93	12.53	12.3833333333333	4.38184131768065
Sm_t00000409-RA	16.61	11.21	11.87	13.23	2.9457087432399
Sm_t00000410-RA	21.92	39.13	23.83	28.2933333333333	9.43329387506471
Sm_t00000411-RA	50.29	54.52	50.42	51.7433333333333	2.40554221192091
Sm_t00000412-RA	33.33	100	100	77.7766666666667	38.4919424468724
Sm_t00000416-RA	100	100	100	100	0
Sm_t00000417-RA	14.49	17.61	36.3	22.8	11.7949607884045
Sm_t00000418-RA	26.81	14.68	26.16	22.55	6.82336427284957
Sm_t00000419-RA	43.32	30.76	43.7	39.26	7.36366756446813
Sm_t00000420-RA	14.86	29.36	36.82	27.0133333333333	11.1664915409153
Sm_t00000421-RA	8.23	9.8	23.01	13.68	8.11806011310584
Sm_t00000422-RA	55.9	55.15	40.7	50.5833333333333	8.56742863018615
Sm_t00000423-RA	15.41	23.02	31.43	23.2866666666667	8.01332848030912
Sm_t00000424-RA	65.69	70.19	64.44	66.7733333333333	3.02420788527068
Sm_t00000425-RA	100	100	100	100	0
Sm_t00000426-RA	70.92	71.06	62.36	68.1133333333333	4.98302451662977
Sm_t00000427-RA	31.1	41.36	43.81	38.7566666666667	6.7430729888778
Sm_t00000433-RA	19.27	19.75	29.76	22.9266666666667	5.9227049000717
Sm_t00000435-RA	18.56	31.75	23.78	24.6966666666667	6.64260741978128
Sm_t00000437-RA	63.68	56.37	55.08	58.3766666666667	4.63789104371085
Sm_t00000438-RA	13.82	6.84	6.9	9.18666666666667	4.01269651647534
Sm_t00000441-RA	48.4	45.87	35.44	43.2366666666667	6.8695875664652
Sm_t00000444-RA	22.75	24.87	12.09	19.9033333333333	6.84906806312606
Sm_t00000445-RA	20.22	19.25	8.57	16.0133333333333	6.46433549046871
Sm_t00000450-RA	28.69	36.46	32.23	32.46	3.89010282640446
Sm_t00000451-RA	35.14	35.26	48.58	39.66	7.72517960956248
Sm_t00000452-RA	6.12	13.23	16.24	11.8633333333333	5.1965790028954
Sm_t00000454-RA	42.86	4.35	9.09	18.7666666666667	20.999605551851
Sm_t00000455-RA	2.27	4.47	1.19	2.64333333333333	1.67156613190545
Sm_t00000456-RA	22.72	19.02	23.16	21.6333333333333	2.27388067702185
Sm_t00000457-RA	42.86	17.32	NA	30.09	18.0595071915044
Sm_t00000460-RA	6.85	6.7	28.18	13.91	12.3584100919172
Sm_t00000461-RA	50.15	36.49	60.57	49.07	12.0762742598866
Sm_t00000462-RA	22.31	25.67	21.62	23.2	2.16672564022305
Sm_t00000463-RA	19.95	54.52	NA	37.235	24.444681425619
Sm_t00000464-RA	7.79	7.83	7.52	7.71333333333333	0.168621864932557
Sm_t00000466-RA	19.49	34.21	14.91	22.87	10.0841856389101
Sm_t00000468-RA	8.92	9.69	3.24	7.28333333333333	3.52273094818968
Sm_t00000470-RA	16.01	26.84	30.57	24.4733333333333	7.56301747540843
Sm_t00000472-RA	11.88	7.91	29.37	16.3866666666667	11.4177683166779
Sm_t00000474-RA	39.63	49.97	57.29	48.9633333333333	8.87293262305836
Sm_t00000475-RA	19.45	12.17	17.94	16.52	3.84212180962551
Sm_t00000477-RA	36.93	21.65	25.73	28.1033333333333	7.9116454251523
Sm_t00000478-RA	26.43	32.73	20.62	26.5933333333333	6.05665199044268
Sm_t00000479-RA	55.21	49.3	47.29	50.6	4.11692846670913
Sm_t00000480-RA	26.69	38.65	27.77	31.0366666666667	6.615416338624
Sm_t00000481-RA	10.65	4.13	NA	7.39	4.61033621333629
Sm_t00000483-RA	4.62	17.46	3.23	8.43666666666667	7.84528095948981
Sm_t00000486-RA	12.22	23.35	13.42	16.33	6.10903429356883
Sm_t00000488-RA	6.44	3.69	9.91	6.68	3.11693759963205
Sm_t00000489-RA	7.93	7.8	10.3	8.67666666666667	1.40734975515447
Sm_t00000490-RA	33.61	69.07	NA	51.34	25.074006460875
Sm_t00000491-RA	19.59	30.43	40.49	30.17	10.452425555822
Sm_t00000495-RA	27.82	30.74	35.41	31.3233333333333	3.82847663351016
Sm_t00000498-RA	63.18	71.79	64.13	66.3666666666667	4.72070263131807
Sm_t00000499-RA	32.96	25.62	23.54	27.3733333333333	4.9487102696898
Sm_t00000500-RA	13.46	13.83	20.18	15.8233333333333	3.77751682105233
Sm_t00000501-RA	46.19	43.08	27.57	38.9466666666667	9.97443899842659
Sm_t00000502-RA	27.36	23.24	12.84	21.1466666666667	7.48292278012631
Sm_t00000503-RA	23.3	50.37	NA	36.835	19.1413805667198
Sm_t00000504-RA	65.99	66	68.44	66.81	1.41163026320634
Sm_t00000506-RA	20.06	11.92	21.17	17.7166666666667	5.05064682326267
Sm_t00000507-RA	50.79	51.08	43.76	48.5433333333333	4.14502513060335
Sm_t00000508-RA	48.41	47.95	42.3	46.22	3.40260194557048
Sm_t00000509-RA	45.68	48.03	53.02	48.91	3.74829294479501
Sm_t00000511-RA	22.16	27.5	26.66	25.44	2.8714456289472
Sm_t00000512-RA	14.11	8.59	10.87	11.19	2.77387815161373
Sm_t00000513-RA	30.09	17.8	33.57	27.1533333333333	8.2850005029169
Sm_t00000514-RA	40.89	44.79	43.08	42.92	1.95491687802832
Sm_t00000522-RA	4.75	2.96	20.68	9.46333333333333	9.75506193385431
Sm_t00000525-RA	22.23	26.92	34.06	27.7366666666667	5.95713297932263
Sm_t00000526-RA	60.09	53.59	NA	56.84	4.59619407771256
Sm_t00000527-RA	46.94	47.59	64.2	52.91	9.78282678983943
Sm_t00000528-RA	50	56.44	50.62	52.3533333333333	3.55270788741958
Sm_t00000529-RA	43.99	58.61	NA	51.3	10.3379011409473
Sm_t00000533-RA	22.52	32.48	34.21	29.7366666666667	6.30939246943264
Sm_t00000534-RA	24.27	26.65	35.83	28.9166666666667	6.1042389643045
Sm_t00000539-RA	45.24	37.26	60.99	47.83	12.0751521729542
Sm_t00000541-RA	61.87	64.4	50.88	59.05	7.18762130332421
Sm_t00000542-RA	17.94	9.44	11.73	13.0366666666667	4.39807154709122
Sm_t00000544-RA	100	100	100	100	0
Sm_t00000546-RA	20.57	11.49	16.22	16.0933333333333	4.5413250636057
Sm_t00000547-RA	17.4	14.4	16.86	16.22	1.59912476061125
Sm_t00000548-RA	48.72	48.11	50.33	49.0533333333333	1.14692342086703
Sm_t00000549-RA	12.5	24.06	NA	18.28	8.17415439051649
Sm_t00000550-RA	24.17	36.06	NA	30.115	8.40749962830805
Sm_t00000552-RA	20.34	23.18	24.62	22.7133333333333	2.17782766382773
Sm_t00000553-RA	7.82	49.07	25.43	27.44	20.6983260192703
Sm_t00000554-RA	25.99	24.04	NA	25.015	1.37885822331377
Sm_t00000555-RA	15.02	25.23	30.49	23.58	7.8658820230156
Sm_t00000556-RA	20.68	22.37	28.61	23.8866666666667	4.17689278451498
Sm_t00000557-RA	23.69	30.8	NA	27.245	5.02752921423635
Sm_t00000558-RA	55.77	18.94	65.63	46.78	24.6090247673491
Sm_t00000561-RA	8.09	6.75	16.42	10.42	5.23916978155891
Sm_t00000562-RA	53.41	58.53	61.95	57.9633333333333	4.2981081109406
Sm_t00000563-RA	19.05	11.7	30	20.25	9.2088272869025
Sm_t00000565-RA	36.71	32.77	19.95	29.81	8.76330987698142
Sm_t00000566-RA	22.47	33.7	62.35	39.5066666666667	20.5643291486334
Sm_t00000567-RA	16.05	15.79	82.61	38.15	38.5037089122593
Sm_t00000568-RA	14.96	13.32	16.2	14.8266666666667	1.4446222112834
Sm_t00000569-RA	38.16	31.49	49.67	39.7733333333333	9.19675123798254
Sm_t00000570-RA	47.02	47.81	48.46	47.7633333333333	0.721133367230592
Sm_t00000575-RA	16.26	17.87	17.81	17.3133333333333	0.912706597616853
Sm_t00000586-RA	15.38	33.33	NA	24.355	12.6925667222985
Sm_t00000596-RA	3.96	8.97	9.57	7.5	3.08037335399461
Sm_t00000597-RA	16.52	15.2	NA	15.86	0.933380951166243
Sm_t00000599-RA	23.88	16.77	9.67	16.7733333333333	7.10500058644145
Sm_t00000601-RA	13.27	18.38	13.66	15.1033333333333	2.84436870558887
Sm_t00000602-RA	7.28	4.59	6.87	6.24666666666667	1.44928718111123
Sm_t00000603-RA	74.18	67.89	68.63	70.2333333333333	3.43788209997571
Sm_t00000604-RA	12.2	4.75	6.94	7.96333333333333	3.82897288229276
Sm_t00000605-RA	12.18	10.42	9.15	10.5833333333333	1.52158908162925
Sm_t00000606-RA	55.07	39.29	NA	47.18	11.1581450071237
Sm_t00000607-RA	36.05	45.6	14.36	32.0033333333333	16.0083113829452
Sm_t00000608-RA	21.34	12.94	9.72	14.6666666666667	5.99934440862777
Sm_t00000609-RA	9.69	12.53	15.69	12.6366666666667	3.00142188526261
Sm_t00000610-RA	26.67	60	NA	43.335	23.5678690169476
Sm_t00000611-RA	2.66	5.87	7.95	5.49333333333333	2.6650390866427
Sm_t00000612-RA	15.35	29.96	13.16	19.49	9.13316484029496
Sm_t00000613-RA	7.11	11.24	25.21	14.52	9.48532023708214
Sm_t00000614-RA	50.25	47.34	67.3	54.9633333333333	10.782487344455
Sm_t00000615-RA	42.81	19.57	35.5	32.6266666666667	11.8834520798181
Sm_t00000616-RA	49.47	39.05	45.5	44.6733333333333	5.25895743787049
Sm_t00000617-RA	0.87	10.98	7.69	6.51333333333333	5.15668821370202
Sm_t00000618-RA	19.36	12.89	23.58	18.61	5.38431982705337
Sm_t00000619-RA	11.94	10.84	16.59	13.1233333333333	3.05218500968295
Sm_t00000620-RA	19.24	13.56	13.64	15.48	3.25650118992762
Sm_t00000621-RA	23.63	27.45	37.81	29.63	7.33705663055697
Sm_t00000625-RA	14.78	14.51	28.7	19.33	8.11578092360803
Sm_t00000627-RA	24.45	26.34	33.78	28.19	4.93245375041672
Sm_t00000628-RA	34.38	14.29	56.25	34.9733333333333	20.986291557427
Sm_t00000629-RA	30.47	41.33	40.2	37.3333333333333	5.97061415043154
Sm_t00000630-RA	65.42	52.7	54.18	57.4333333333333	6.95612919182309
Sm_t00000632-RA	44.79	53.53	58.23	52.1833333333333	6.82044964304651
Sm_t00000636-RA	7.52	12	16.9	12.14	4.69156690243249
Sm_t00000637-RA	30.47	13.75	19.56	21.26	8.48864535718156
Sm_t00000638-RA	22.55	8.34	8.15	13.0133333333333	8.25954195663012
Sm_t00000639-RA	19.24	15.18	21.48	18.6333333333333	3.19351426070612
Sm_t00000640-RA	7.33	12.77	26.73	15.61	10.0069575796043
Sm_t00000644-RA	8.05	22.46	17.85	16.12	7.35912358912391
Sm_t00000645-RA	20.47	14.14	15.05	16.5533333333333	3.42231403195752
Sm_t00000646-RA	44.44	12.5	43.75	33.5633333333333	18.2446439629096
Sm_t00000647-RA	14.87	11.71	16.46	14.3466666666667	2.41785717802631
Sm_t00000648-RA	28.25	16.74	22.38	22.4566666666667	5.75538298754595
Sm_t00000649-RA	15.7	8.92	13.93	12.85	3.51666034754567
