gene	bias1	bias2	mean	SD
Sm_t00001975-RA	24.66	22.23	23.445	1.71826947828331
Sm_t00001978-RA	33.97	7.57	20.77	18.6676190233249
Sm_t00001980-RA	76.47	100	88.235	16.6382225613195
Sm_t00001981-RA	40.55	35.98	38.265	3.23147799002252
Sm_t00001988-RA	18.65	20.46	19.555	1.27986327394765
Sm_t00001993-RA	12.35	6.88	9.615	3.86787409309041
Sm_t00001995-RA	25.63	15.72	20.675	7.00742820155869
Sm_t00001999-RA	39.66	35.04	37.35	3.26683332908185
Sm_t00002000-RA	21.51	15.93	18.72	3.94565583902094
Sm_t00002004-RA	100	100	100	0
Sm_t00002005-RA	100	100	100	0
Sm_t00002007-RA	27.59	49.61	38.6	15.5704913217278
Sm_t00002008-RA	21.52	28.77	25.145	5.12652416360247
Sm_t00002009-RA	34.44	25.99	30.215	5.97505230102633
Sm_t00002010-RA	100	27.27	63.635	51.4278761956976
Sm_t00002011-RA	38.28	46.84	42.56	6.05283404695685
Sm_t00002017-RA	16.64	18.53	17.585	1.33643181644258
Sm_t00002052-RA	8.98	12.64	10.81	2.58801081914276
Sm_t00002053-RA	13.59	15.52	14.555	1.36471608769004
Sm_t00002054-RA	13.07	15.5	14.285	1.71826947828331
Sm_t00002055-RA	27.27	24.7	25.985	1.81726442764943
Sm_t00002056-RA	37.11	45.61	41.36	6.01040764008565
Sm_t00002058-RA	45.68	100	72.84	38.4100403540533
Sm_t00002060-RA	25.28	19.01	22.145	4.43355951803965
Sm_t00002061-RA	17.82	52.89	35.355	24.7982348162122
Sm_t00002062-RA	23.69	22.37	23.03	0.933380951166243
Sm_t00002064-RA	20.34	23.74	22.04	2.40416305603426
Sm_t00002065-RA	13.19	19.84	16.515	4.70226009489054
Sm_t00002066-RA	22.69	19.45	21.07	2.29102597104442
Sm_t00002067-RA	18.13	12.05	15.09	4.29920922961421
Sm_t00002068-RA	55.99	51.12	53.555	3.44361002437849
Sm_t00002071-RA	29.86	20.61	25.235	6.54073772597557
Sm_t00002072-RA	15.91	21.29	18.6	3.80423448278363
Sm_t00002073-RA	22.12	27.4	24.76	3.73352380466497
Sm_t00002074-RA	33.75	20.29	27.02	9.51765727477093
Sm_t00002075-RA	6.98	10.1	8.54	2.20617315730203
Sm_t00002076-RA	10.59	22.97	16.78	8.75398195108946
Sm_t00002077-RA	21.95	34.1	28.025	8.59134739141656
Sm_t00002078-RA	21.46	32.3	26.88	7.66503750806217
Sm_t00002080-RA	14.25	19.23	16.74	3.52139177030901
Sm_t00002081-RA	20.71	25.26	22.985	3.21733585439879
Sm_t00002082-RA	37.33	33.04	35.185	3.03348809129029
Sm_t00002083-RA	31.16	21.94	26.55	6.51952452253997
Sm_t00002086-RA	11.83	12.16	11.995	0.233345237791561
Sm_t00002087-RA	17.77	9.87	13.82	5.58614357137373
Sm_t00002088-RA	19.05	21.11	20.08	1.45663996924429
Sm_t00002091-RA	13.02	10.58	11.8	1.72534054609518
Sm_t00002092-RA	14.01	17.24	15.625	2.28395490323255
Sm_t00002094-RA	11.42	10.11	10.765	0.926309883354378
Sm_t00002095-RA	14.85	23.25	19.05	5.939696961967
Sm_t00002096-RA	23.62	23.68	23.65	0.0424264068711919
Sm_t00002098-RA	100	100	100	0
Sm_t00002100-RA	12.43	11.69	12.06	0.523259018078045
Sm_t00002101-RA	25.96	19.45	22.705	4.60326514552443
Sm_t00002103-RA	47.99	52.78	50.385	3.38704148188356
Sm_t00002105-RA	15.64	13.48	14.56	1.52735064736294
Sm_t00002106-RA	18.77	11.67	15.22	5.02045814642449
Sm_t00002109-RA	22.29	30.14	26.215	5.5507882323144
Sm_t00002110-RA	37.78	23.32	30.55	10.2247640559575
Sm_t00002111-RA	17.2	19.51	18.355	1.63341666454093
Sm_t00002112-RA	15.09	21.76	18.425	4.71640223051427
Sm_t00002115-RA	16.76	8.92	12.84	5.54371716450253
Sm_t00002116-RA	32.18	20.06	26.12	8.57013418798096
Sm_t00002117-RA	43.21	26.4	34.805	11.8864649917459
Sm_t00002118-RA	31.3	21.36	26.33	7.02864140499428
Sm_t00002121-RA	35.14	28.23	31.685	4.88610785799904
Sm_t00002122-RA	27.81	26.41	27.11	0.989949493661165
Sm_t00002123-RA	10.18	11.74	10.96	1.10308657865101
Sm_t00002124-RA	39.44	31.62	35.53	5.5295750288788
Sm_t00002125-RA	39.68	49.19	44.435	6.72458548908407
Sm_t00002126-RA	31.64	26.81	29.225	3.41532575313103
Sm_t00002127-RA	58.54	57.44	57.99	0.777817459305203
Sm_t00002128-RA	16.87	23.47	20.17	4.66690475583121
Sm_t00002130-RA	42.89	39.13	41.01	2.65872149726142
Sm_t00002131-RA	6.06	27.08	16.57	14.8633845405412
Sm_t00002132-RA	41.55	39.06	40.305	1.7606958851545
Sm_t00002136-RA	5.82	8.62	7.22	1.97989898732233
Sm_t00002144-RA	7.68	4.72	6.2	2.09303607231218
Sm_t00002145-RA	11.76	20.33	16.045	6.05990511476871
Sm_t00002146-RA	63.32	65.89	64.605	1.81726442764943
Sm_t00002149-RA	14.84	13.97	14.405	0.615182899632296
Sm_t00002154-RA	57.98	60.86	59.42	2.03646752981726
Sm_t00002155-RA	33.94	31.44	32.69	1.76776695296637
Sm_t00002156-RA	23.73	19.8	21.765	2.77892965006313
Sm_t00002157-RA	22.53	5.13	13.83	12.3036579926459
Sm_t00002161-RA	1.57	1.2	1.385	0.261629509039023
Sm_t00002162-RA	6.97	11.59	9.28	3.26683332908185
Sm_t00002163-RA	16.49	15.44	15.965	0.742462120245874
Sm_t00002164-RA	16.17	8.97	12.57	5.09116882454314
Sm_t00002168-RA	24.59	21.86	23.225	1.93040151263928
Sm_t00002170-RA	33.33	46.34	39.835	9.19945922323699
Sm_t00002173-RA	24.5	15.35	19.925	6.47002704785691
Sm_t00002174-RA	22.02	20.8	21.41	0.862670273047587
Sm_t00002177-RA	54.07	49.55	51.81	3.1961226509632
Sm_t00002178-RA	50.79	54.39	52.59	2.54558441227157
Sm_t00002180-RA	8.84	32.56	20.7	16.7725728497449
Sm_t00002181-RA	10.23	29.8	20.015	13.8380797078207
Sm_t00002182-RA	7.91	22.55	15.23	10.3520432765711
Sm_t00002183-RA	10.44	7.31	8.875	2.21324422511389
Sm_t00002184-RA	12.59	16.05	14.32	2.44658946290546
Sm_t00002185-RA	67.21	70.63	68.92	2.41830519165799
Sm_t00002186-RA	35.48	32.17	33.825	2.34052344572747
Sm_t00002187-RA	28.51	26.03	27.27	1.75362481734264
Sm_t00002190-RA	17.26	11.62	14.44	3.98808224589213
Sm_t00002203-RA	54.11	16.91	35.51	26.3043722601396
Sm_t00002204-RA	23.38	23.4	23.39	0.0141421356237306
Sm_t00002205-RA	45.45	52.07	48.76	4.68104689145494
Sm_t00002206-RA	30.17	7.54	18.855	16.0018264582516
Sm_t00002207-RA	15.6	21.77	18.685	4.362848839921
Sm_t00002209-RA	45.1	32.2	38.65	9.12167747730646
Sm_t00002210-RA	22.44	32.55	27.495	7.14884955779599
Sm_t00002212-RA	8.13	16.8	12.465	6.13061579288737
Sm_t00002213-RA	27.91	27.67	27.79	0.16970562748477
Sm_t00002214-RA	6.36	8.29	7.325	1.36471608769004
Sm_t00002215-RA	29.59	41.2	35.395	8.20950972957582
Sm_t00002217-RA	11.68	10.51	11.095	0.827314933988261
Sm_t00002218-RA	28.83	25.32	27.075	2.48194480196478
Sm_t00002219-RA	44.79	38.48	41.635	4.46184378928712
Sm_t00002220-RA	34.7	31.83	33.265	2.02939646200539
Sm_t00002224-RA	42.05	31.2	36.625	7.67210857587404
Sm_t00002225-RA	72.4	71.79	72.095	0.431335136523794
Sm_t00002226-RA	37.67	30.51	34.09	5.06288455329568
Sm_t00002227-RA	56.13	53.72	54.925	1.70412734265958
Sm_t00002228-RA	13.93	6.84	10.385	5.01338707861262
Sm_t00002229-RA	15.12	21.85	18.485	4.75882863738547
Sm_t00002233-RA	21.09	23.32	22.205	1.576848122046
Sm_t00002234-RA	28.25	20.73	24.49	5.31744299452284
Sm_t00002235-RA	37.17	24.7	30.935	8.81762156139625
Sm_t00002238-RA	51.53	42.49	47.01	6.39224530192639
Sm_t00002240-RA	8.23	12.04	10.135	2.69407683632075
Sm_t00002241-RA	35.49	33.57	34.53	1.35764501987817
Sm_t00002242-RA	25.13	14.79	19.96	7.3114841174689
Sm_t00002243-RA	41.47	28.6	35.035	9.10046427387086
Sm_t00002244-RA	23.74	30.38	27.06	4.69518902707868
Sm_t00002245-RA	21.45	13.72	17.585	5.46593541857201
Sm_t00002246-RA	27.08	18.56	22.82	6.02454977570938
Sm_t00002248-RA	11.43	15.85	13.64	3.12541197284454
Sm_t00002250-RA	39.77	44.94	42.355	3.65574205873445
Sm_t00002257-RA	12.11	11.41	11.76	0.494974746830583
Sm_t00002259-RA	39.54	30.14	34.84	6.64680374315355
Sm_t00002260-RA	36.67	57.07	46.87	14.4249783362056
Sm_t00002263-RA	28.57	42.69	35.63	9.98434775035405
Sm_t00002264-RA	100	70.04	85.02	21.184919164349
Sm_t00002265-RA	28.39	28.78	28.585	0.275771644662754
Sm_t00002266-RA	70.1	50.86	60.48	13.6047344700292
Sm_t00002267-RA	37	16.01	26.505	14.8421713371056
Sm_t00002268-RA	25.76	31.23	28.495	3.86787409309041
Sm_t00002270-RA	37.5	13.25	25.375	17.1473394437738
Sm_t00002273-RA	25.78	19.08	22.43	4.73761543394987
Sm_t00002276-RA	18.15	44.62	31.385	18.7171164980079
Sm_t00002277-RA	68.74	63.72	66.23	3.54967604155647
Sm_t00002279-RA	16.3	16.92	16.61	0.43840620433566
Sm_t00002282-RA	22.03	21.45	21.74	0.410121933088199
Sm_t00002283-RA	14.64	17	15.82	1.66877200360025
Sm_t00002287-RA	17.9	11.97	14.935	4.19314321243623
Sm_t00002288-RA	44.93	42.84	43.885	1.47785317267988
Sm_t00002289-RA	100	75	87.5	17.6776695296637
Sm_t00002290-RA	80.63	100	90.315	13.6966583515834
Sm_t00002292-RA	16.77	32.31	24.54	10.988439379639
Sm_t00002295-RA	23.91	18.56	21.235	3.78302127934803
Sm_t00002296-RA	27.79	28.09	27.94	0.212132034355965
Sm_t00002297-RA	12.25	18.7	15.475	4.56083873865323
Sm_t00002298-RA	100	100	100	0
Sm_t00002304-RA	45.19	36.21	40.7	6.34981889505519
Sm_t00002307-RA	13.61	9.35	11.48	3.01227488785469
Sm_t00002308-RA	26.53	30.49	28.51	2.80014285349873
Sm_t00002309-RA	32.1	32.53	32.315	0.304055915910215
Sm_t00002310-RA	60.59	53.23	56.91	5.20430590953299
Sm_t00002314-RA	67.36	60.67	64.015	4.730544366138
Sm_t00002315-RA	100	100	100	0
Sm_t00002316-RA	60.65	68.16	64.405	5.31037192671097
Sm_t00002318-RA	49.82	40.89	45.355	6.31446355599587
Sm_t00002319-RA	23.27	23.63	23.45	0.254558441227157
Sm_t00002320-RA	48.29	49.34	48.815	0.742462120245878
Sm_t00002321-RA	19.96	12.71	16.335	5.12652416360247
Sm_t00002322-RA	14.81	27.88	21.345	9.24188563010818
Sm_t00002323-RA	23.22	11.55	17.385	8.25193613644701
Sm_t00002324-RA	26.7	47.56	37.13	14.7502474555514
Sm_t00002326-RA	20.38	17.44	18.91	2.07889393668845
Sm_t00002328-RA	21.75	16.12	18.935	3.98101117808026
Sm_t00002329-RA	51.25	37.64	44.445	9.62372329194891
Sm_t00002330-RA	31.5	31.22	31.36	0.197989898732234
Sm_t00002332-RA	19.23	19.39	19.31	0.113137084989848
Sm_t00002333-RA	48.01	32.48	40.245	10.9813683118271
Sm_t00002336-RA	70.83	50.37	60.6	14.4674047430768
Sm_t00002338-RA	39.68	33.92	36.8	4.07293505963451
Sm_t00002339-RA	100	100	100	0
Sm_t00002340-RA	61.57	59.71	60.64	1.31521861300698
Sm_t00002341-RA	59.04	57.28	58.16	1.24450793488832
Sm_t00002342-RA	11.11	10.53	10.82	0.410121933088198
Sm_t00002343-RA	45.7	37.43	41.565	5.84777308041275
Sm_t00002348-RA	24.88	35.16	30.02	7.26905771059771
Sm_t00002349-RA	39.45	26.6	33.025	9.08632213824714
Sm_t00002352-RA	13.75	6.27	10.01	5.28915872327538
Sm_t00002353-RA	32.83	14.71	23.77	12.8127748751002
Sm_t00002354-RA	23.08	24.1	23.59	0.721248916810281
Sm_t00002356-RA	10.42	15.54	12.98	3.62038671967512
Sm_t00002357-RA	28.14	45.63	36.885	12.3672976029527
Sm_t00002358-RA	31.37	20.78	26.075	7.48826081276554
Sm_t00002361-RA	31.86	32.9	32.38	0.735391052434009
Sm_t00002362-RA	23.04	23.97	23.505	0.657609306503489
Sm_t00002365-RA	14.27	15.13	14.7	0.608111831820432
Sm_t00002372-RA	7.89	6.05	6.97	1.30107647738325
Sm_t00002373-RA	13.7	24.51	19.105	7.64382430462658
Sm_t00002377-RA	5.94	10.04	7.99	2.89913780286484
Sm_t00002379-RA	8.66	2	5.33	4.70933116270241
Sm_t00002380-RA	20.89	31	25.945	7.148849557796
Sm_t00002381-RA	14	27.37	20.685	9.45401766446414
Sm_t00002382-RA	16.87	13.18	15.025	2.60922402257836
Sm_t00002383-RA	21.22	16.95	19.085	3.01934595566656
Sm_t00002384-RA	22.02	12.43	17.225	6.78115403157899
Sm_t00002385-RA	16.13	18.38	17.255	1.59099025766973
Sm_t00002386-RA	6.49	10.14	8.315	2.5809397513309
Sm_t00002387-RA	25.08	15.76	20.42	6.59023520065862
Sm_t00002397-RA	5.62	7.87	6.745	1.59099025766973
Sm_t00002398-RA	6.83	8.77	7.8	1.3717871555019
Sm_t00002399-RA	1.89	10.97	6.43	6.42052957317385
Sm_t00002400-RA	15.6	3.51	9.555	8.54892098454536
Sm_t00002401-RA	13.87	17.72	15.795	2.72236110756821
Sm_t00002403-RA	25.45	40.48	32.965	10.6278149212338
Sm_t00002407-RA	23.14	25.39	24.265	1.59099025766973
Sm_t00002408-RA	35.36	35.32	35.34	0.0282842712474613
Sm_t00002409-RA	22.58	43.04	32.81	14.4674047430768
Sm_t00002411-RA	31.73	57.19	44.46	18.0029386490095
Sm_t00002413-RA	14.79	28.76	21.775	9.87828173317607
Sm_t00002414-RA	16.43	14.31	15.37	1.49906637611548
Sm_t00002416-RA	100	78.18	89.09	15.4290699654905
Sm_t00002417-RA	86.15	55.28	70.715	21.8283863352287
Sm_t00002418-RA	18.91	16.85	17.88	1.45663996924429
Sm_t00002421-RA	64.98	45.73	55.355	13.611805537841
Sm_t00002422-RA	47.14	42.51	44.825	3.27390439689372
Sm_t00002423-RA	47.91	53.08	50.495	3.65574205873445
Sm_t00002424-RA	23.13	19.87	21.5	2.30516810666814
Sm_t00002425-RA	19.1	7.85	13.475	7.95495128834866
Sm_t00002426-RA	15.37	19.67	17.52	3.04055915910216
Sm_t00002430-RA	14.23	16.53	15.38	1.62634559672906
Sm_t00002431-RA	6.88	18.09	12.485	7.9266670171012
Sm_t00002435-RA	5.92	47.15	26.535	29.1540125883214
Sm_t00002436-RA	24.2	14.22	19.21	7.05692567624174
Sm_t00002440-RA	44.92	54.3	49.61	6.63266160752981
Sm_t00002441-RA	24.7	17.18	20.94	5.31744299452284
Sm_t00002442-RA	17.79	27.9	22.845	7.148849557796
Sm_t00002448-RA	52.24	42.03	47.135	7.21956023591465
Sm_t00002449-RA	23.67	47.56	35.615	16.8927810025466
Sm_t00002450-RA	30.95	40.3	35.625	6.61144840409422
Sm_t00002451-RA	37.27	38.47	37.87	0.848528137423854
Sm_t00002452-RA	26.01	63.7	44.855	26.650854582921
Sm_t00002453-RA	13.58	14.05	13.815	0.332340187157678
Sm_t00002459-RA	27.46	26.97	27.215	0.34648232278141
Sm_t00002460-RA	11.73	13.88	12.805	1.52027957955108
Sm_t00002461-RA	27.1	23.82	25.46	2.31931024229188
Sm_t00002464-RA	37.07	44.23	40.65	5.06288455329568
Sm_t00002465-RA	21.9	15.16	18.53	4.76589970519733
Sm_t00002466-RA	19.1	17.03	18.065	1.46371103705615
Sm_t00002467-RA	51.51	61.48	56.495	7.04985460842988
Sm_t00002468-RA	46.12	41.82	43.97	3.04055915910215
Sm_t00002469-RA	12.27	7.6	9.935	3.30218866814118
Sm_t00002472-RA	27.51	33.47	30.49	4.21435641587182
Sm_t00002477-RA	22.64	16.83	19.735	4.10829039869384
Sm_t00002478-RA	10.46	10.97	10.715	0.360624458405139
Sm_t00002479-RA	22.82	28.37	25.595	3.92444263558534
Sm_t00002482-RA	11.47	42.1	26.785	21.658680707744
Sm_t00002483-RA	11.08	23.52	17.3	8.79640835796065
Sm_t00002484-RA	19.18	14.08	16.63	3.60624458405139
Sm_t00002487-RA	45.63	52.6	49.115	4.92853426487024
Sm_t00002488-RA	25.85	19.82	22.835	4.26385389055488
Sm_t00002493-RA	10.71	17.24	13.975	4.61740728114815
Sm_t00002497-RA	30.4	32.58	31.49	1.54149278298667
Sm_t00002503-RA	17.83	14.76	16.295	2.1708178182427
Sm_t00002504-RA	9.92	16.13	13.025	4.39113311116846
Sm_t00002505-RA	7.88	14.68	11.28	4.80832611206852
Sm_t00002506-RA	19.25	36.11	27.68	11.9218203308052
Sm_t00002507-RA	64.2	42.29	53.245	15.4927095757973
Sm_t00002508-RA	7.49	7.53	7.51	0.0282842712474619
Sm_t00002509-RA	16.52	17.16	16.84	0.452548339959391
Sm_t00002512-RA	24.59	34.82	29.705	7.23370237153838
Sm_t00002514-RA	11.61	9.23	10.42	1.68291413922398
Sm_t00002516-RA	53.1	59.82	56.46	4.7517575695736
Sm_t00002518-RA	38.65	26.39	32.52	8.66912913734707
Sm_t00002519-RA	48.01	43.96	45.985	2.86378246380552
Sm_t00002520-RA	100	100	100	0
Sm_t00002521-RA	100	100	100	0
Sm_t00002522-RA	100	56.52	78.26	30.7450028459911
Sm_t00002530-RA	38.46	21.88	30.17	11.723830432073
Sm_t00002531-RA	50	4.76	27.38	31.9895107808794
Sm_t00002532-RA	8.51	11.81	10.16	2.33345237791561
Sm_t00002533-RA	18.84	1.16	10	12.5016478913782
Sm_t00002534-RA	29.7	22.11	25.905	5.3669404692059
Sm_t00002535-RA	42.28	51.62	46.95	6.60437733628235
Sm_t00002536-RA	34	23.65	28.825	7.31855518528077
Sm_t00002537-RA	66.75	55.3	61.025	8.09637264458597
Sm_t00002542-RA	22.48	14.52	18.5	5.62856997824492
Sm_t00002543-RA	21.81	18.08	19.945	2.63750829382582
Sm_t00002544-RA	45.15	43.02	44.085	1.50613744392734
Sm_t00002545-RA	21.99	19.67	20.83	1.64048773235279
Sm_t00002546-RA	57.76	62.4	60.08	3.28097546470558
Sm_t00002547-RA	30.06	18.04	24.05	8.4994235098623
Sm_t00002550-RA	27.55	23.04	25.295	3.18905158315133
Sm_t00002551-RA	10.2	17.27	13.735	4.99924494298889
Sm_t00002553-RA	30.97	24.53	27.75	4.55376767084136
Sm_t00002554-RA	28.5	13.86	21.18	10.3520432765711
Sm_t00002558-RA	20.23	12.16	16.195	5.70635172417544
Sm_t00002559-RA	16.43	18.82	17.625	1.68998520703585
Sm_t00002560-RA	25.88	10.24	18.06	11.0591500577576
Sm_t00002562-RA	34.83	36.2	35.515	0.968736290225573
Sm_t00002565-RA	44.83	35.4	40.115	6.66801694658914
Sm_t00002566-RA	13.56	11.89	12.725	1.18086832458153
Sm_t00002567-RA	43.08	37.21	40.145	4.15071680556503
Sm_t00002569-RA	43.98	33.25	38.615	7.58725576213165
Sm_t00002570-RA	29.07	25.02	27.045	2.86378246380552
Sm_t00002573-RA	28.97	13.2	21.085	11.1510739393119
Sm_t00002575-RA	28.54	34.58	31.56	4.27092495836675
Sm_t00002576-RA	8.1	16.02	12.06	5.60028570699746
Sm_t00002577-RA	34.23	20.54	27.385	9.68029183444383
Sm_t00002580-RA	17.04	26.18	21.61	6.46295598004504
Sm_t00002581-RA	8.77	9.28	9.025	0.360624458405139
Sm_t00002586-RA	16.92	15.37	16.145	1.09601551083915
Sm_t00002587-RA	81.79	77.65	79.72	2.92742207411231
Sm_t00002588-RA	15.33	44.14	29.735	20.3717463659844
Sm_t00002589-RA	45.78	35.24	40.51	7.45290547370621
Sm_t00002590-RA	30.78	20.91	25.845	6.97914393031123
Sm_t00002596-RA	51.07	51.65	51.36	0.410121933088196
Sm_t00002597-RA	55.56	38.6	47.08	11.9925310089238
Sm_t00002598-RA	48.67	45.14	46.905	2.49608693758851
Sm_t00002606-RA	47.01	4.48	25.745	30.0732514038639
Sm_t00002609-RA	13.39	24.39	18.89	7.77817459305202
Sm_t00002610-RA	8.36	35.72	22.04	19.3464415332639
Sm_t00002612-RA	40.74	38.75	39.745	1.40714249456123
Sm_t00002614-RA	25.93	23.53	24.73	1.69705627484771
Sm_t00002616-RA	22.91	27.22	25.065	3.04763022691402
Sm_t00002617-RA	63.64	51.92	57.78	8.28729147550634
Sm_t00002618-RA	32.31	51.07	41.69	13.2653232150596
Sm_t00002619-RA	15.09	14.27	14.68	0.579827560572969
Sm_t00002621-RA	15.78	12.34	14.06	2.43244732728172
Sm_t00002622-RA	27.27	1.59	14.43	18.1585021408705
Sm_t00002623-RA	35.26	31.61	33.435	2.5809397513309
Sm_t00002624-RA	35.8	29.36	32.58	4.55376767084136
Sm_t00002625-RA	29.95	17.57	23.76	8.75398195108946
Sm_t00002626-RA	40.49	29.57	35.03	7.7216060505571
Sm_t00002627-RA	26.65	8.28	17.465	12.9895515703969
Sm_t00002628-RA	20.39	36.22	28.305	11.193500346183
Sm_t00002629-RA	70.81	41.53	56.17	20.7040865531421
Sm_t00002630-RA	4.84	12.92	8.88	5.7134227919873
Sm_t00002633-RA	42.1	55.04	48.57	9.14996174855392
Sm_t00002635-RA	26.77	19.07	22.92	5.44472221513642
Sm_t00002636-RA	40.2	33.27	36.735	4.90024999362277
Sm_t00002637-RA	8.92	28.56	18.74	13.8875771825038
Sm_t00002638-RA	24.84	14.89	19.865	7.03571247280615
Sm_t00002642-RA	15.02	38.92	26.97	16.8998520703585
Sm_t00002649-RA	27.86	18.21	23.035	6.82358043845018
Sm_t00002650-RA	12.92	12.59	12.755	0.233345237791561
Sm_t00002652-RA	20.48	16.9	18.69	2.53144227664784
Sm_t00002654-RA	45.78	37.6	41.69	5.78413347010596
Sm_t00002655-RA	8.48	18.3	13.39	6.9437885912519
Sm_t00002656-RA	17.56	10.97	14.265	4.65983368801935
Sm_t00002657-RA	25.91	24.46	25.185	1.02530483272049
Sm_t00002659-RA	17.11	26.43	21.77	6.59023520065862
Sm_t00002660-RA	25.24	16.85	21.045	5.93262589415513
Sm_t00002661-RA	16.67	37.01	26.84	14.3825519293344
Sm_t00002663-RA	37.76	31.97	34.865	4.09414826307011
Sm_t00002664-RA	13.64	10	11.82	2.57386868351903
Sm_t00002665-RA	36.48	32.92	34.7	2.51730014102411
Sm_t00002666-RA	16.53	54.08	35.305	26.5518596335549
Sm_t00002667-RA	35.76	29.09	32.425	4.71640223051427
Sm_t00002668-RA	29.09	22.24	25.665	4.84368145112785
Sm_t00002669-RA	53.24	44.71	48.975	6.03162084352125
Sm_t00002670-RA	29.54	31.12	30.33	1.11722871427475
Sm_t00002671-RA	6.34	9	7.67	1.88090403795622
Sm_t00002672-RA	0.9	2.86	1.88	1.38592929112563
Sm_t00002673-RA	14.81	5.36	10.085	6.68215908221287
Sm_t00002674-RA	11.69	10.19	10.94	1.06066017177982
Sm_t00002676-RA	33.7	3.81	18.755	21.1354216896659
Sm_t00002678-RA	37.69	33.07	35.38	3.26683332908185
Sm_t00002679-RA	32.11	25.65	28.88	4.5679098064651
Sm_t00002680-RA	21.46	23.14	22.3	1.1879393923934
Sm_t00002682-RA	21.33	18.66	19.995	1.88797510576808
Sm_t00002683-RA	56.35	65.46	60.905	6.44174277660944
Sm_t00002684-RA	14.39	12.48	13.435	1.35057395206631
Sm_t00002687-RA	14.17	27.87	21.02	9.6873629022557
Sm_t00002689-RA	37.58	35.26	36.42	1.64048773235279
Sm_t00002690-RA	30.38	17.38	23.88	9.19238815542512
Sm_t00002692-RA	55.34	45.79	50.565	6.75286976033153
Sm_t00002693-RA	22.17	18.44	20.305	2.63750829382582
Sm_t00002694-RA	20.39	16.7	18.545	2.60922402257836
Sm_t00002695-RA	60.43	48.86	54.645	8.18122545832835
Sm_t00002696-RA	0	15.53	7.765	10.9813683118271
Sm_t00002703-RA	100	29.41	64.705	49.9146676839584
Sm_t00002731-RA	35.48	9.38	22.43	18.4554869889689
Sm_t00002732-RA	34.59	34.17	34.38	0.296984848098351
Sm_t00002733-RA	18.41	16.3	17.355	1.49199530830362
Sm_t00002734-RA	31.16	5.62	18.39	18.0595071915044
Sm_t00002736-RA	20.64	20.61	20.625	0.0212132034355972
Sm_t00002737-RA	15.68	15.08	15.38	0.424264068711928
Sm_t00002739-RA	22.35	23.21	22.78	0.60811183182043
Sm_t00002740-RA	13.85	100	56.925	60.9172491992211
Sm_t00002745-RA	61.92	54.77	58.345	5.05581348548381
Sm_t00002749-RA	5.08	38.26	21.67	23.4618029997696
Sm_t00002750-RA	33.03	32.26	32.645	0.544472221513644
Sm_t00002751-RA	20.21	25.1	22.655	3.45775216000222
Sm_t00002753-RA	22.66	27.48	25.07	3.40825468531916
Sm_t00002754-RA	29.56	27.54	28.55	1.42835569799683
Sm_t00002760-RA	28.03	33.37	30.7	3.77595021153616
Sm_t00002761-RA	10.78	9.6	10.19	0.834386001800126
Sm_t00002763-RA	23.11	28.65	25.88	3.91737156777347
Sm_t00002764-RA	33.6	25.87	29.735	5.46593541857201
Sm_t00002805-RA	44.6	53.03	48.815	5.9609101654026
Sm_t00002825-RA	37.51	31.74	34.625	4.08000612744638
Sm_t00002831-RA	47.11	58.46	52.785	8.02566196646731
Sm_t00002836-RA	9.18	12.92	11.05	2.64457936163769
Sm_t00002837-RA	13.32	16.96	15.14	2.57386868351903
Sm_t00002838-RA	100	64.33	82.165	25.2224988849242
Sm_t00002842-RA	38.5	40.16	39.33	1.17379725676967
Sm_t00002855-RA	45.31	40.19	42.75	3.62038671967513
Sm_t00002857-RA	14.68	13.39	14.035	0.912167747730646
Sm_t00002859-RA	39.5	44.49	41.995	3.52846283812087
Sm_t00002864-RA	12.3	12.67	12.485	0.261629509039022
Sm_t00002870-RA	81.82	72.73	77.275	6.42760064098571
Sm_t00002880-RA	41.52	65.74	53.63	17.1261262403382
Sm_t00002881-RA	67.35	50	58.675	12.2683026535866
Sm_t00002884-RA	66.46	67.44	66.95	0.692964645562819
Sm_t00002886-RA	27.94	25.02	26.48	2.06475180106472
Sm_t00002887-RA	38.22	36.54	37.38	1.1879393923934
Sm_t00002889-RA	15.4	21.07	18.235	4.00929544932772
Sm_t00002901-RA	25.18	25.49	25.335	0.219203102167829
Sm_t00002902-RA	7.9	6.67	7.285	0.869741340859454
Sm_t00002903-RA	24.68	18.18	21.43	4.59619407771256
Sm_t00002905-RA	34.96	34.45	34.705	0.360624458405138
Sm_t00002906-RA	13.46	16.82	15.14	2.3758787847868
Sm_t00002907-RA	17.44	26.75	22.095	6.58316413284676
Sm_t00002910-RA	26.84	27.01	26.925	0.120208152801714
Sm_t00002911-RA	3.65	11.69	7.67	5.68513852073984
Sm_t00002916-RA	13.72	17.6	15.66	2.74357431100381
Sm_t00002918-RA	30.67	30.8	30.735	0.0919238815542505
Sm_t00002924-RA	100	100	100	0
Sm_t00002926-RA	100	63.54	81.77	25.7811132420615
Sm_t00002931-RA	42.15	29.49	35.82	8.95197184982169
Sm_t00002932-RA	16.9	24.02	20.46	5.03460028204822
Sm_t00002933-RA	47.99	36.43	42.21	8.17415439051649
Sm_t00002934-RA	68.13	49.55	58.84	13.1380439944461
Sm_t00002936-RA	58.33	25.2	41.765	23.4264476607103
Sm_t00002937-RA	19.94	20.46	20.2	0.367695526217004
Sm_t00002941-RA	19.7	17.37	18.535	1.64755880016465
