gene	bias1	bias2	mean	SD
Sm_t00000228-RA	16.52	5.16	10.84	8.03273303427918
Sm_t00000230-RA	24.65	19.32	21.985	3.7688791437243
Sm_t00000231-RA	15.19	17.58	16.385	1.68998520703585
Sm_t00000233-RA	11.2	6	8.6	3.67695526217005
Sm_t00000234-RA	59.86	62.24	61.05	1.68291413922398
Sm_t00000235-RA	46.29	62.11	54.2	11.1864292783712
Sm_t00000236-RA	20.85	34.77	27.81	9.84292639411674
Sm_t00000237-RA	28.54	11.58	20.06	11.9925310089238
Sm_t00000238-RA	16.31	22.33	19.32	4.25678282274302
Sm_t00000239-RA	19.53	24.66	22.095	3.62745778748699
Sm_t00000240-RA	26.11	22.9	24.505	2.26981276760882
Sm_t00000241-RA	29.77	13	21.385	11.8581807204984
Sm_t00000242-RA	13.59	13.19	13.39	0.282842712474619
Sm_t00000243-RA	24.76	19.66	22.21	3.60624458405139
Sm_t00000245-RA	33.26	1.77	17.515	22.2667925395644
Sm_t00000249-RA	29.01	24.28	26.645	3.34461507501237
Sm_t00000251-RA	45.95	34.67	40.31	7.97616449178426
Sm_t00000252-RA	20.57	17.18	18.875	2.3970919882224
Sm_t00000253-RA	14.81	19.23	17.02	3.12541197284454
Sm_t00000255-RA	20.21	22.35	21.28	1.51320851173921
Sm_t00000256-RA	16.49	18.85	17.67	1.66877200360025
Sm_t00000257-RA	27.7	15.44	21.57	8.66912913734707
Sm_t00000258-RA	17.04	17.43	17.235	0.275771644662754
Sm_t00000260-RA	75.38	76.73	76.055	0.954594154601845
Sm_t00000261-RA	32.7	32.95	32.825	0.176776695296637
Sm_t00000262-RA	23.95	20.04	21.995	2.7647875144394
Sm_t00000263-RA	13.71	10.34	12.025	2.38294985259867
Sm_t00000264-RA	14.07	14.38	14.225	0.21920310216783
Sm_t00000265-RA	26.85	7.44	17.145	13.7249426228309
Sm_t00000266-RA	54.41	61.21	57.81	4.80832611206853
Sm_t00000267-RA	42.3	45.25	43.775	2.08596500450032
Sm_t00000269-RA	30.65	29.75	30.2	0.636396103067892
Sm_t00000271-RA	38.7	37.63	38.165	0.756604255869606
Sm_t00000275-RA	41.93	36.52	39.225	3.82544768621922
Sm_t00000279-RA	30.91	25.01	27.96	4.17193000900063
Sm_t00000280-RA	21.26	22.13	21.695	0.615182899632295
Sm_t00000281-RA	19.93	14.37	17.15	3.9315137033972
Sm_t00000282-RA	45.82	36.73	41.275	6.42760064098572
Sm_t00000284-RA	68.37	64.21	66.29	2.94156420973605
Sm_t00000288-RA	19.17	13.38	16.275	4.09414826307011
Sm_t00000296-RA	9.89	17.99	13.94	5.72756492761103
Sm_t00000298-RA	29.21	31.47	30.34	1.5980613254816
Sm_t00000299-RA	66.34	43.93	55.135	15.8462629663905
Sm_t00000301-RA	17.13	18.46	17.795	0.94045201897811
Sm_t00000302-RA	30.58	10.59	20.585	14.1350645559191
Sm_t00000303-RA	48.46	46.58	47.52	1.32936074863071
Sm_t00000304-RA	47.24	49.95	48.595	1.91625937701554
Sm_t00000305-RA	7.93	6.07	7	1.31521861300698
Sm_t00000306-RA	45.19	52.71	48.95	5.31744299452284
Sm_t00000309-RA	26.05	18.68	22.365	5.21137697734486
Sm_t00000310-RA	20.94	16.12	18.53	3.40825468531916
Sm_t00000312-RA	32.62	31.28	31.95	0.947523086789971
Sm_t00000315-RA	34.68	27.65	31.165	4.97096067174143
Sm_t00000328-RA	27.36	26.13	26.745	0.869741340859454
Sm_t00000330-RA	9.19	13.89	11.54	3.32340187157677
Sm_t00000333-RA	15.01	13.05	14.03	1.38592929112563
Sm_t00000334-RA	19.52	12.24	15.88	5.14773736703807
Sm_t00000336-RA	25.33	13.25	19.29	8.54184991673349
Sm_t00000338-RA	26.46	23.63	25.045	2.00111219075793
Sm_t00000343-RA	21.43	21.97	21.7	0.381837661840735
Sm_t00000344-RA	31.82	23.98	27.9	5.54371716450253
Sm_t00000347-RA	36.17	31.53	33.85	3.28097546470558
Sm_t00000348-RA	17.4	29.61	23.505	8.63377379828775
Sm_t00000350-RA	22.25	21.5	21.875	0.530330085889911
Sm_t00000351-RA	41.28	31.43	36.355	6.96500179468749
Sm_t00000355-RA	59.21	64.58	61.895	3.79716341497176
Sm_t00000357-RA	31.16	18.26	24.71	9.12167747730646
Sm_t00000358-RA	32.59	27.54	30.065	3.57088924499207
Sm_t00000359-RA	57.23	62.16	59.695	3.48603643124968
Sm_t00000360-RA	35.75	38.89	37.32	2.22031529292576
Sm_t00000364-RA	12.37	30.95	21.66	13.1380439944461
Sm_t00000365-RA	24.55	26.89	25.72	1.65462986797652
Sm_t00000368-RA	49.23	40.72	44.975	6.01747870789752
Sm_t00000369-RA	25.84	18.4	22.12	5.26087445202791
Sm_t00000370-RA	58.73	17.47	38.1	29.175225791757
Sm_t00000371-RA	13.45	24.78	19.115	8.01151983084359
Sm_t00000372-RA	12.91	12.65	12.78	0.183847763108502
Sm_t00000373-RA	80	78.38	79.19	1.14551298552221
Sm_t00000377-RA	100	100	100	0
Sm_t00000378-RA	39.42	51.21	45.315	8.3367889501894
Sm_t00000379-RA	35.32	23.32	29.32	8.48528137423857
Sm_t00000390-RA	14.68	17.67	16.175	2.11424927574778
Sm_t00000391-RA	27.92	52.33	40.125	17.2604765287636
Sm_t00000392-RA	71.31	84.27	77.79	9.16410388417765
Sm_t00000393-RA	23.81	14.36	19.085	6.68215908221287
Sm_t00000394-RA	16.25	29	22.625	9.01561146012848
Sm_t00000395-RA	55.53	36.66	46.095	13.3431049609902
Sm_t00000396-RA	20.15	12.74	16.445	5.23966124859232
Sm_t00000403-RA	47.18	50.26	48.72	2.17788888605457
Sm_t00000404-RA	21.72	21.31	21.515	0.289913780286485
Sm_t00000405-RA	22.45	19.8	21.125	1.87383297014435
Sm_t00000406-RA	34.75	28.12	31.435	4.68811795926681
Sm_t00000408-RA	31.52	18.51	25.015	9.19945922323698
Sm_t00000409-RA	28.15	18.65	23.4	6.7175144212722
